"table_name","variable","n_rows","n_missing","n_non_missing","pct_missing","any_values","n_distinct_non_missing","non_numeric_count","all_numeric_like","decimal_count","any_negative","boolean_like","has_sentinel_values","max_char_length","likely_id"
"cisir_blood_crosstab","cisir_id",50,0,50,0,TRUE,25,50,FALSE,0,FALSE,FALSE,FALSE,38,FALSE
"cisir_blood_crosstab","mrn",50,0,50,0,TRUE,25,0,TRUE,0,FALSE,FALSE,FALSE,10,FALSE
"cisir_blood_crosstab","trauma_no",50,16,34,32,TRUE,17,0,TRUE,0,FALSE,FALSE,FALSE,6,FALSE
"cisir_blood_crosstab","account_number",50,0,50,0,TRUE,25,0,TRUE,0,FALSE,FALSE,FALSE,9,FALSE
"cisir_blood_crosstab","cat",50,0,50,0,TRUE,2,50,FALSE,0,FALSE,TRUE,FALSE,3,FALSE
"cisir_blood_crosstab","mtp",50,0,50,0,TRUE,2,50,FALSE,0,FALSE,TRUE,FALSE,3,FALSE
"cisir_blood_crosstab","ffp_0",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_0",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","cryo_0",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","wb_0",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","plat_0",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","ffp_1",50,46,4,92,TRUE,2,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","prbc_1",50,46,4,92,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","cryo_1",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","wb_1",50,38,12,76,TRUE,2,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","plat_1",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,TRUE,FALSE,1,FALSE
"cisir_blood_crosstab","ffp_2",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_2",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","cryo_2",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","wb_2",50,46,4,92,TRUE,1,0,TRUE,0,FALSE,TRUE,FALSE,1,FALSE
"cisir_blood_crosstab","plat_2",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","ffp_3",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_3",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,TRUE,FALSE,1,FALSE
"cisir_blood_crosstab","cryo_3",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","wb_3",50,44,6,88,TRUE,1,0,TRUE,0,FALSE,TRUE,FALSE,1,FALSE
"cisir_blood_crosstab","plat_3",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","ffp_4",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_4",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
"cisir_blood_crosstab","cryo_4",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","wb_4",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","plat_4",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","ffp_5",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_5",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","cryo_5",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","wb_5",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","plat_5",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","ffp_6",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","prbc_6",50,50,0,100,FALSE,0,0,FALSE,0,FALSE,FALSE,FALSE,NA,FALSE
"cisir_blood_crosstab","cryo_6",50,48,2,96,TRUE,1,0,TRUE,0,FALSE,FALSE,FALSE,1,FALSE
